dog_id,name,owner,description
00000000-0000-0000-0001-000000000001,Bella,,Gentle golden retriever who loves long walks and squeaky toys.
00000000-0000-0000-0001-000000000002,Max,,Playful beagle mix with a nose for adventure and snacks.
00000000-0000-0000-0001-000000000003,Luna,,Calm husky who enjoys winter weather and belly rubs.
00000000-0000-0000-0001-000000000004,Charlie,,Smart border collie that excels at agility courses.
00000000-0000-0000-0001-000000000005,Milo,,Curious lab mix with a love for hiking and swimming.
00000000-0000-0000-0001-000000000006,Daisy,,Sweet terrier that thrives on cuddles and treats.
00000000-0000-0000-0001-000000000007,Cooper,,Energetic Aussie shepherd who loves learning tricks.
00000000-0000-0000-0001-000000000008,Sadie,,Affectionate pug that prefers quiet naps on the couch.
00000000-0000-0000-0001-000000000009,Rocky,,Resilient mixed breed who enjoys fetch and car rides.
00000000-0000-0000-0001-00000000000a,Zoe,,Friendly doodle that gets along with everyone at the park.
00000000-0000-0000-0001-00000000000b,Buddy,,Loyal German shepherd that adores obedience training.
